Riding.code	Riding	Province	Riding.history	Parliament.no	Term	Id.2	Id	Name	Party.Name	Occupation	Religion	French	Length	switch.check	Ministry	Secretary	Change.party	Temporary.suspended.caucus	Excluded.caucus	Quit.caucus	First.Nations	Country.of.Birth	Note1	Note2	vote.id	H31S1V001	H31S1V002	H31S1V003	H31S1V004	H31S1V005	H31S1V006	H31S1V007	H31S1V008
402	"LONDON EAST"	"Ontario"	"1966 - 1996"	31	"1979.05.22"	1707	"7b05cff5-c307-4e05-ad7d-0efc4d065bee"	"TURNER, Charlie"	"Liberal Party of Canada"	"Locomotive engineer"		0	4								""	""	""		""	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"1"
628	"SAINT JOHN"	"New Brunswick"	"1976 - 1987"	31	"1979.05.22"	1713	"7b87c62f-2478-4bce-9f97-6c75907955a8"	"FERGUSON, Eric"	"Progressive Conservative Party"	"Consultant, police officer"		0	1								""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
88	"BURNABY"	"British Columbia"	"1976 - 1987"	31	"1979.05.22"	1715	"7bac4375-0412-480f-923c-1b938132ecb5"	"ROBINSON, Svend J."	"New Democratic Party"	"Barrister and solicitor, lawyer"		0	1								""	"United States"	""		""	"2"	"1"	"1"	"1"	"1"	"2"	"2"	"1"
199	"EDMONTON NORTH"	"Alberta"	"1976 - 2003"	31	"1979.05.22"	1721	"7bd87e49-bca8-45fa-a451-7c1635f2748c"	"PAPROSKI, Steven E."	"Progressive Conservative Party"	"Businessman, manager"		0	4		1						""	"Poland"	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
708	"STORMONT--DUNDAS"	"Ontario"	"1966 - 1999"	31	"1979.05.22"	1722	"7beeed73-0eef-4875-ac4f-eae4a5b16956"	"LUMLEY, Ed"	"Liberal Party of Canada"	"Businessman"		0	2								""	""	""		""	"2"	"9"	"1"	"1"	"1"	"2"	"2"	"1"
453	"MONCTON"	"New Brunswick"	"1966 - 1998"	31	"1979.05.22"	1730	"7c655095-e5b3-4a07-894e-f7ab2be71ff5"	"MCCAULEY, Gary F."	"Liberal Party of Canada"	"Broadcaster, clergyperson"		0	1								""	""	""		""	"2"	"2"	"9"	"1"	"1"	"2"	"9"	"1"
780	"VICTORIA"	"British Columbia"	"1924 - "	31	"1979.05.22"	1745	"7d64d4bd-0f99-4e1f-81da-826f567f48d2"	"MCKINNON, Allan"	"Progressive Conservative Party"	"Teacher"		0	3		1						""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"9"	"2"
179	"DON VALLEY EAST"	"Ontario"	"1976 - "	31	"1979.05.22"	1747	"7d757415-3a87-42e4-af41-eb1cade8f47e"	"WAKIM, Sam"	"Progressive Conservative Party"	"Lawyer"		0	1								""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
614	"RIMOUSKI"	"Quebec"	"1867 - 1980"	31	"1979.05.22"	1777	"807db12b-220f-4f7f-936f-6c7eba43595e"	"ALLARD, Eudore"	"Social Credit"	"Hotelier, sales representative"		1	3								""	""	""		""	"1"	"2"	"2"	"2"	"2"	"9"	"1"	"9"
372	"LANGELIER"	"Quebec"	"1966 - 1990"	31	"1979.05.22"	1786	"80e1adc0-c063-41db-898d-f2ebcac27c3b"	"LAMONTAGNE, J. Gilles"	"Liberal Party of Canada"	"Merchant"		1	2								""	""	""		""	"9"	"2"	"1"	"1"	"1"	"2"	"2"	"1"
23	"ASSINIBOIA"	"Saskatchewan"	"1907 - 1987"	31	"1979.05.22"	1791	"80fb46d2-7ead-422d-a70f-585c8ff50372"	"GUSTAFSON, Len"	"Progressive Conservative Party"	"Businessman, contractor, farmer"		0	1								""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
