division_id,official_date,deposit_date,date_matches
H39S2V130,2008-06-04,2008-06-04,True
H39S2V131,2008-06-05,2008-06-05,True
H39S2V132,2008-06-05,2008-06-05,True
H39S2V133,2008-06-05,2008-06-05,True
H39S2V134,2008-06-05,2008-06-05,True
H39S2V135,2008-06-05,2008-06-05,True
H39S2V136,2008-06-05,2008-06-05,True
H39S2V137,2008-06-05,2008-06-05,True
H39S2V138,2008-06-05,2008-06-05,True
H39S2V139,2008-06-05,2008-06-05,True
H39S2V140,2008-06-05,2008-06-05,True
H39S2V141,2008-06-09,2008-06-09,True
H39S2V142,2008-06-09,2008-06-09,True
H39S2V143,2008-06-10,2008-06-10,True
H39S2V144,2008-06-10,2008-06-10,True
H39S2V145,2008-06-10,2008-06-10,True
H39S2V146,2008-06-10,2008-06-10,True
H39S2V147,2008-06-10,2008-06-10,True
H39S2V148,2008-06-10,2008-06-10,True
H39S2V149,2008-06-12,2008-06-12,True
H39S2V150,2008-06-12,2008-06-12,True
H39S2V151,2008-06-12,2008-06-12,True
H39S2V152,2008-06-12,2008-06-12,True
H39S2V153,2008-06-12,2008-06-12,True
H39S2V154,2008-06-12,2008-06-12,True
H39S2V155,2008-06-12,2008-06-12,True
H39S2V156,2008-06-12,2008-06-12,True
H39S2V157,2008-06-17,2008-06-17,True
H39S2V158,2008-06-18,2008-06-18,True
H39S2V159,2008-06-18,2008-06-18,True
H39S2V160,2008-06-18,2008-06-18,True
H39S2V161,2008-06-19,2008-06-19,True
H40S1V001,2008-11-24,2008-11-24,True
H40S2V001,2009-01-29,2009-01-29,True
H40S2V002,2009-02-02,2009-02-02,True
H40S2V003,2009-02-03,2009-02-03,True
H40S2V004,2009-02-05,2009-02-05,True
H40S2V005,2009-02-05,2009-02-05,True
H40S2V006,2009-02-12,2009-02-12,True
H40S2V007,2009-02-12,2009-02-12,True
H40S2V008,2009-02-12,2009-02-12,True
H40S2V009,2009-02-12,2009-02-12,True
H40S2V010,2009-02-12,2009-02-12,True
H40S2V011,2009-02-12,2009-02-12,True
H40S2V012,2009-02-24,2009-02-24,True
H40S2V013,2009-02-26,2009-02-26,True
H40S2V014,2009-03-03,2009-03-03,True
H40S2V015,2009-03-03,2009-03-03,True
